,t,y,x
195,81030,-55.70906220701759,-56.78901821817964
196,81230,-55.82159654846877,-57.29626170771709
197,81430,-56.38057860096917,-57.42731245715779
198,81630,-56.51709567041061,-57.67399622344004
199,81830,-56.708957497478636,-58.15811311013502
200,82031,-57.0188881414459,-58.235201786276605
201,82231,-57.25871542449443,-58.45875894708719
202,82431,-57.58155984555583,-58.8071997653505
203,82631,-57.86012845910027,-59.01842273692676
204,82831,-58.011404130260864,-59.345278725344585
205,83032,-58.463386319117625,-59.45474464756899
206,83232,-58.520575902155734,-59.82631206604558
207,83432,-58.74195493266207,-60.13004144899174
208,83632,-59.17548886819014,-60.21638076837367
209,83832,-59.28617838422981,-61.67798207169894
210,84033,-59.631160707869945,-61.93237470559536
211,84233,-59.82855701038602,-62.085010282252334
212,84433,-60.02041883666755,-62.388739667827686
213,84633,-60.25840129509106,-62.66625890193739
214,84833,-60.544349211068074,-62.78189191614976
215,85034,-60.77864201866854,-63.093330166710075
216,85234,-61.01109000164399,-63.30146959492155
217,85434,-61.17712427452375,-63.57898883166043
218,85634,-61.40772743208768,-63.725457313700254
219,85834,-61.41510673294725,-64.11090069703737
220,86035,-61.69736499810123,-64.38687815815007
221,86235,-61.93350263111322,-64.49788585337146
222,86435,-62.134588583665845,-64.79236459570646
223,86635,-62.38548481918349,-64.90491406392485
224,86835,-62.69541546236426,-65.060633189205
225,87036,-62.91494966824557,-65.38594740462584
226,87236,-63.11972527240773,-65.52162347305752
227,87436,-63.38353528423301,-65.71126161741749
228,87636,-63.76725893836906,-65.8191857640157
229,87836,-63.877948453622224,-66.05199356543744
230,88037,-64.04398272728848,-66.29559378309652
231,88237,-64.38527539931908,-66.28634314248536
232,88437,-64.42217190440347,-66.65174346897399
233,88637,-64.73025772295921,-66.81671323486529
234,88837,-64.9848436085134,-66.7596676155722
235,89038,-65.87958385916933,-68.5311653964608
236,89238,-66.23010065904403,-68.72697063543794
237,89438,-66.36846255311049,-68.81176817919368
238,89638,-66.5511002539074,-68.96594553410604
239,89838,-66.8056861386751,-69.1031633755347
240,90039,-66.85549642085363,-69.22033816537326
241,90239,-67.19309944363418,-69.48089788862846
242,90439,-67.22815112409356,-69.61349041369533
243,90639,-67.30747860971039,-69.68903731683993
244,90839,-67.72994359355584,-69.90642738303335
245,91040,-67.67275401130424,-69.96193122932945
246,91240,-68.0675466163364,-70.1931972577542
247,91440,-68.26309809344096,-70.25795174991983
248,91640,-68.2852359968062,-70.38900249936053
249,91840,-68.65973552467115,-70.58943305732863
250,92041,-68.79256294328955,-70.69119010668051
251,92241,-68.96966616785191,-70.7621116908341
252,92441,-69.20764862627543,-70.85153455621003
253,92641,-69.27590716099614,-70.99029417326487
254,92841,-69.60059640668257,-71.11055250909742
255,93042,-69.60613088213063,-71.19380827985617
256,93242,-69.78876858292755,-71.31098306443634
257,93442,-69.9548028565938,-71.41736544066676
258,93642,-69.92344082695747,-71.486745246565
259,93842,-70.209388742148,-71.68409225853912
260,94043,-70.38280231667382,-71.80897591336264
261,94243,-70.26473349977456,-71.94773553304668
262,94443,-70.52485386156332,-72.00323937934279
263,94643,-70.60233652176863,-72.17129269648646
264,94843,-70.30163000485896,-71.41274011904659
265,95044,-70.22599216927865,-71.42353253528393
266,95244,-70.35512993707403,-71.82131010522617
267,95444,-70.55068141496508,-71.86910508390811
268,95644,-70.48795735647893,-72.00323937934279
269,95844,-70.70564673694872,-72.15895850462294
270,96045,-70.87168101061496,-71.96469504390117
271,96245,-70.78497422335205,-72.20212816431392
272,96445,-70.9307154182781,-72.10962175294401
273,96645,-70.87721548527652,-72.17900156410062
274,96845,-70.92333611741851,-72.44881192796699
275,97046,-70.96392227253945,-72.43647774136184
276,97246,-70.95100849623181,-72.62919943171579
277,97446,-71.05800836066193,-72.8882173846032
278,97646,-70.9307154182781,-73.09173149119448
279,97846,-70.85323275728628,-73.52188630459035
280,98048,-70.86799135900543,-73.50030147474487
281,98248,-70.66506058104129,-73.94279047737508
282,98448,-70.54883658955357,-74.2496034089444
283,98648,-70.58388827001293,-74.41765672082971
284,98848,-70.2296818201017,-75.03282435959457
285,99049,-70.12268195488508,-75.27179925563348
286,99249,-69.79430305837562,-75.6711185985727
287,99449,-69.42533800674522,-76.206114015202
288,99649,-69.13201079148163,-76.44817245723489
289,99849,-68.68002860262486,-76.9631248143865
290,100050,-68.3719427840691,-77.12501103691302
291,100250,-67.81296073078222,-77.4611176633128
292,100450,-67.35544406726389,-77.86197878187824
293,100650,-67.00308244197768,-77.88973070371169
294,100850,-66.39060045647572,-78.32759438472172
295,101051,-65.95891134557267,-78.44785272055425
296,101251,-65.47187747782954,-78.53419203993619
297,101451,-64.86861961781217,-78.96126330733807
298,101651,-64.43877533232063,-79.65506139261231
299,101851,-63.87979327903374,-79.78302859605901
300,102052,-63.35770773083124,-79.30507880135201
301,102252,-62.90941519279752,-79.44846374002704
302,102452,-62.41684684803332,-79.61343350591834
303,102652,-61.95564053447845,-79.74448425535904
304,102852,-61.35053784904957,-80.10525926285668
305,103053,-60.940986641511756,-80.32573287767327
306,141093,-30.553024977403823,-54.85255066877054
307,141293,-29.91287061230208,-54.40851989314334
308,141493,-29.39447471492261,-53.770225654165195
309,141693,-28.96832007946762,-53.432577252139225
310,141893,-28.58828607615461,-52.846703308204816
311,142094,-28.17135556854371,-52.37337883511798
312,142294,-27.81345946780944,-51.68420607146391
313,142494,-27.341184201785456,-51.17850435492345
314,142694,-26.881822712069116,-50.9102357614249
315,142894,-26.39109919350294,-50.191769297681994
316,143095,-25.902220499561786,-49.54114086684033
317,143295,-25.310031591227045,-49.10790251007967
318,143495,-24.71415303285576,-48.471150044098515
319,143695,-24.269550145645066,-47.954655911320714
320,143895,-23.65891298476813,-47.49829094645919
321,144096,-23.21431009755744,-46.722778863423194
322,144296,-22.675621121437764,-46.25407970932734
323,144496,-22.194121729142683,-45.466233437057014
324,144696,-21.590863869125325,-45.034536850664146
325,144896,-21.092761049699572,-44.485665477061914
326,145097,-20.769916629424667,-43.77336610793618
327,145297,-20.18879667277254,-43.441884797898176
328,145497,-19.73865931011379,-42.743461391003756
329,145697,-19.268228868714832,-41.95715689173043
330,145897,-18.873436263682667,-41.51775143509421
331,146098,-18.43621267654506,-40.76382418190369
332,146298,-18.013747692699607,-40.213411032675275
333,146498,-17.729644602920608,-39.52269649339501
334,146698,-17.366214026738277,-38.7888122917946
335,146898,-17.07657646151122,-38.1428091852023
336,147099,-16.825680225993576,-37.382714837394616
337,147299,-16.565559864204836,-36.656539506037554
338,147499,-16.500990980307154,-35.8918198366097
339,147699,-16.462249649811245,-34.94362911743904
340,147899,-16.40690489218466,-34.33617034891753
341,148100,-16.338646358250436,-33.52519747380472
342,148300,-16.314663628687192,-32.84835889412659
343,148500,-16.368163561688753,-32.16843676845448
344,148700,-16.34787048373504,-31.468471588563073
345,148900,-16.434577270997952,-30.754630446440334
346,149101,-16.58585294215855,-30.037705755694425
347,149301,-16.631973573514035,-29.26836076727559
348,149501,-16.812766448899442,-28.764200821102932
349,149701,-17.008317926004004,-28.04573435998922
350,149901,-17.14299017082042,-27.635622603441835
351,150102,-17.4160243089168,-26.981910626606183
352,150302,-17.72042047664951,-26.15860356225905
353,150502,-17.923351254613653,-25.881084325520163
354,150702,-18.266488753628767,-25.20270397547423
355,150902,-18.533988416277086,-24.62916422603253
356,151103,-18.880815564542246,-24.18667522340233
357,151303,-19.140935926330986,-23.625469657936577
358,151503,-19.423194190698464,-23.095099565556648
359,151703,-19.775555815198178,-22.69886377124059
360,151903,-20.01907274906975,-22.09294677308688
361,152104,-20.312399965119845,-21.687460335530478
362,152304,-20.701658094703948,-21.14167250792223
363,152504,-20.849244115041508,-20.865695046809527
364,152704,-21.168398885279867,-20.312198351587124
365,152904,-21.42851924706861,-19.681612977593947
366,153105,-21.583484568265746,-19.36092408379329
367,153305,-21.6738810063517,-18.916893308166095
368,153505,-21.6831051326228,-18.465153664924742
369,153705,-21.9303117173174,-18.027289983914713
370,153905,-22.160914874881335,-17.566299697433017
371,154106,-22.26606991468644,-17.13306133541397
372,154306,-22.548328179053918,-16.638152035110846
373,154506,-22.642414267176413,-16.295878314093894
374,154706,-22.79000028751397,-15.82717915999804
375,154906,-23.105465406929294,-15.296809067618112
376,155107,-23.144206737425204,-15.023915152499393
377,155307,-23.478120110169222,-14.447291854434516
378,155507,-23.6847405381699,-13.795121650595858
379,155707,-23.758533548338683,-13.465182116184046
380,155907,-23.917188520358856,-12.928644929186953
381,156108,-24.118274473697976,-12.356646952742244
382,156308,-24.299067349083384,-11.852487009198779
383,156508,-24.46141197271309,-11.135562318452866
384,156708,-24.474325749807228,-10.694615091448851
385,156908,-24.590549740508454,-10.000817000916223
386,157110,-24.479860224468787,-9.553702679295043
387,157310,-24.46694644894765,-8.875322326619923
388,157510,-24.507532604068576,-8.163022957494183
389,157710,-24.16439510583996,-7.848501158310685
390,157910,-23.985447055866075,-7.1084498673514895
391,158111,-23.70134396530058,-6.542618982894757
392,158311,-23.402482273802427,-6.10167175326155
393,158511,-23.01322414421832,-5.586719396109938
394,158711,-22.618431538399662,-5.250612767080961
395,158911,-22.253156137592306,-4.710992031460689
396,159112,-21.664656879294103,-4.427305702733826
397,159312,-21.177623011550967,-4.140535828012976
398,159512,-20.653692637936942,-3.7535506743080678
399,159712,-20.03567617698692,-3.6410012034604904
400,159912,-19.50990097796138,-3.2432236335182463
401,160113,-18.998884380654992,-2.95799553442358
402,160313,-18.253574976534633,-3.0875045082380868
403,160513,-17.67245501909601,-2.6912687139220273
404,160713,-17.072886810688182,-2.7251877303726477
405,160913,-16.50468063113019,-2.7236459573756537
406,161114,-15.814715983849919,-2.592595207934963
407,161314,-15.148734066132892,-2.663516789459381
408,161514,-14.593441662882539,-2.5031723399298604
409,161714,-13.857356384246776,-2.621888902765412
410,161914,-13.18030551406064,-2.692810486919021
411,162115,-12.595495907371971,-2.5463419996208225
412,162315,-11.79668657025005,-2.871656215041655
413,162515,-11.204497661915303,-2.860863798804319
414,162715,-10.538515743411782,-2.7390636926039704
415,162915,-9.81165459104712,-3.139924811169392
416,163116,-9.248982886937188,-3.0597525837754413
417,163316,-8.739811116615313,-3.192345108842316
418,163516,-8.280449626898971,-3.346522461125482
419,163716,-7.749139952425367,-3.287935068835393
420,163916,-7.321140491558857,-3.4636972509640405
421,164117,-7.029658100920282,-3.3619401963537983
422,164317,-6.555538009484783,-3.5947480004047314
423,164517,-6.32309002729583,-3.6949632793887885
424,164717,-6.068504141741644,-3.6363758844695093
425,164917,-5.771487274868514,-3.807512744977986
426,165118,-5.677401186746021,-3.8213887072093087
427,165318,-5.527970340210449,-3.681087317157466
428,165518,-5.393298096180529,-3.901560931974069
429,165718,-5.2936775333964725,-3.8368064424376254
430,165918,-5.247556901254489,-3.929312853807525
431,166119,-5.253091376702549,-4.007943305575291
432,166319,-5.197746619075965,-3.8861431967457527
433,166519,-5.206970746133559,-5.546633285042153
434,166719,-5.306591308917615,-5.386288835512632
435,166919,-5.171919065674192,-5.429458495203595
436,167120,-5.240177600394911,-5.4602939682894185
437,167320,-5.337953339340441,-5.364704008296341
438,167520,-5.234643124160354,-5.4664610602773935
439,167720,-5.323194736834788,-5.381663516521652
440,167920,-5.325039562246306,-5.32615967022555
441,168121,-5.267849979208203,-5.46954460627138
442,168321,-5.332418863105885,-5.360078689305361
443,168521,-5.299212008058037,-5.370871100284316
444,168721,-6.027917985834218,-6.4316112876733635
445,168921,-5.795470002858768,-6.201887032245608
446,169122,-5.845280285037293,-6.280517481384185
447,169322,-5.950435324842402,-6.265099746155868
448,169522,-5.830521683318135,-6.305185859852843
449,169722,-5.930142246888687,-6.377649214374255
450,169922,-6.009469733292024,-6.29130989762152
451,170123,-5.872952663850585,-6.393066949602572
452,170323,-5.967038751973077,-6.402317592842914
453,170523,-5.941211198571304,-6.423902420059204
454,170723,-5.876642313887126,-6.460904985133002
455,170923,-5.773332100280032,-6.474780947364326
456,171124,-4.6424542158256115,-7.369009593235878
457,171324,-4.6682817700138814,-7.3273817065419085
458,171524,-4.531764700572443,-7.213290467955718
459,171724,-4.295627067560452,-7.322756387550928
460,171924,-4.046575657454327,-7.295004463088283
461,172125,-3.6148865473377727,-7.291920914465105
462,172325,-3.3049559033705065,-7.3751766852238525
463,172525,-2.904628822890282,-7.308880425319605
464,172725,-2.34195711878035,-7.342799441770225
465,172925,-1.8955094061581421,-7.350508309384384
466,173126,-1.3162342749175338,-7.3936779690753465
467,173326,-0.7517177446095861,-7.413721025923834
468,173526,-0.11156338108082982,-7.396761517698524
469,173726,0.5691771407148424,-7.493893248059404
470,173926,1.1927280778994191,-7.510852756284714
471,174127,1.9306581811602015,-7.478475512831087
472,174327,2.71655374118799,-7.574065470194975
473,174527,3.3714667087953925,-7.472308420843113
474,174727,4.212707026449764,-7.449181815371448
475,174927,4.917430275449195,-7.4198881179118095
476,175129,5.6885672337578255,-7.3998450610633215
477,175329,6.520583425141101,-7.356675406630739
478,175529,7.2751169563190565,-7.321214614553935
479,175729,8.01673670961638,-7.335090574156068
480,175929,8.730684084886908,-7.369009593235878
481,176130,9.444631460157437,-7.313505746939777
482,176330,10.044199669351757,-7.470766645216929
483,176530,10.551526615835105,-7.455348909988612
484,176730,11.136336222523774,-7.515478075275696
485,176930,11.610456314745772,-7.649612373339564
486,177131,12.005248919777936,-7.663488338200077
487,177331,12.540248245074576,-7.834625198708553
488,177531,12.896299519610832,-8.112144430189062
489,177731,13.25973009657966,-8.369620610079464
490,177931,13.67297095415402,-8.755063993416568
491,178132,13.94416026683888,-9.129714960516337
492,178332,14.204280627841126,-9.516700116850435
493,178532,13.770746692313052,-10.494184530851545
494,178732,13.97736712188673,-10.912005155013086
495,178932,14.067763559186183,-11.440833477025212
496,179133,14.029022228690277,-11.93728455295452
497,179333,14.121263492187746,-12.347396309501901
498,179533,14.041936005784411,-12.84847270705138
499,179733,13.113988900080628,-13.539187246331641
500,179933,13.230212891568353,-13.90150402682627
501,180134,12.829885810301631,-14.357868989058604
502,180334,12.713661819600404,-14.734061729155368
503,180534,12.59559300270116,-15.06862658518735
504,180734,12.189731445199882,-15.392399027611189
505,180934,11.852128423992317,-15.757799351470617
506,181135,11.361404904639645,-16.05381986943181
507,181335,11.191680980936853,-16.243458013791777
508,181535,10.870681386073468,-16.514810153284312
509,181735,10.308009681963537,-16.752243276326226
510,181935,10.160423660839482,-16.81699776586267
511,182136,9.547941674551025,-17.02667896444194
512,182336,9.070131933078985,-17.194732278956426
513,182536,8.867201154328345,-17.296489330937476
514,182736,8.295305324733812,-17.493836342911607
515,182936,7.830409358782914,-17.678849168280596
516,183137,7.383961646947202,-17.860778442397216
517,183337,6.882169175911914,-18.075084962596655
518,183537,6.409893909887933,-18.343353556095202
519,183737,5.834308428683865,-18.708753879954628
520,183937,5.588946669400777,-18.90301734593477
521,184138,6.618359164086631,-18.48211317315005
522,184338,5.902566963404585,-18.862931234866984
523,184538,5.393395192296214,-19.29000250226887
524,184738,4.74032705010033,-19.706281353433415
525,184938,4.266206959451327,-20.114851339612997
526,185139,3.592845739301729,-19.39946842186408
527,185339,2.9692948021171524,-19.656944601754482
528,185539,2.4951747098951564,-20.13797794245547
529,185739,1.9657098608330723,-20.654472072604076
530,185939,1.4583829151362204,-21.012163528849346
531,186140,0.9455214932048123,-21.550242491472623
532,186340,0.2758499238782525,-22.032817605170607
533,186540,-0.04330484557361442,-21.69979452213562
534,186740,-0.6484075310024926,-22.247124125370046
535,186940,-1.2774929436351292,-22.567813019170707
536,187141,-1.6925786274075036,-23.395745402508823
537,187341,-2.41390530353761,-23.824358442907698
538,187541,-2.912008123749861,-24.2853487267602
539,187741,-3.330783457558777,-25.124073526335653
540,187941,-3.9561792193683756,-25.625149921255943
541,188142,-4.502247496347632,-26.220274505801505
542,188342,-5.208815570758581,-26.638095129963045
543,188542,-5.675556360548006,-27.29334887979569
544,188742,-6.271434919705787,-27.96556213785365
545,188942,-6.97246851788218,-28.495932230233574
546,189143,-7.361726647466285,-29.245234161803925
547,189343,-7.972363809129719,-29.803356181275692
548,189543,-8.669707756483074,-30.255095821887853
549,189743,-9.060810710692202,-31.015190172324726
550,189943,-9.752620183383995,-31.388299366427503
551,190144,-10.237809225715614,-31.94025428865291
552,190344,-10.713774142562631,-32.65101188215247
553,190544,-11.285669973730158,-33.06420718732303
554,190744,-11.86125545414773,-33.55449117126436
555,190944,-12.449754711659434,-34.012397909122875
556,191145,-12.864840394645313,-34.52272494465432
557,191345,-13.342650137690347,-35.05309503703425
558,191545,-13.960666598640367,-35.40616117691772
559,191745,-14.263217940961558,-36.19246567619106
560,191945,-14.866475800978918,-36.41139751538148
561,192146,-15.335061416966358,-36.8508029693885
562,192346,-15.648681710970164,-37.54768460328593
563,192546,-16.24087061851841,-37.76661644510554
564,192746,-16.661490777738848,-38.446538570777655
565,192946,-17.096869539464937,-39.13571133706091
566,193147,-17.7093515241804,-39.60286871553058
567,193347,-18.259109452769188,-40.298208576431016
568,193547,-18.901108641709463,-40.751489992669356
569,193747,-19.353090830566227,-41.712014898445155
570,193947,-20.02829687534085,-42.32255721821904
571,194149,-20.718261521834624,-42.94235017597487
572,194349,-21.19791608950468,-43.946044741441646
573,194549,-21.950604795271115,-44.394700838689005
574,194749,-22.596293635034428,-45.14091922426537
575,194949,-22.996620717087648,-46.081401075821866
576,195150,-23.758533548338683,-46.55010022728853
577,195350,-24.37101553462714,-47.333321177938686
578,195550,-24.88387695655855,-48.017868625230975
579,195750,-25.48897964120093,-48.62070207213232
580,198553,-31.15259318659815,-57.22996544518365
581,198753,-31.49019620859221,-57.51673532516289
582,198953,-31.602730549256897,-58.178156166983506
583,199154,-31.995678329664038,-58.62064516698452
584,199354,-32.41629848888447,-58.69927561875229
585,199554,-32.57679828631616,-59.43778513671449
586,199754,-32.97528054217137,-59.64284101630277
587,199954,-33.200349223500744,-60.0822464703098
588,200155,-33.477073013206656,-60.575613997615925
589,200355,-33.82943463691987,-60.71591539029696
590,200555,-34.14858940715824,-61.13990310907567
591,200755,-34.50833033173104,-61.33570835068199
592,200955,-34.70572663503361,-61.73194414499805
593,201156,-35.078381336700545,-62.63233988548677
594,201356,-35.4436567382944,-62.80964384061241
595,201556,-35.70193227467162,-63.07637065848477
596,201756,-36.1834316677532,-63.221297372785976
597,201956,-36.64463798130806,-63.28296831369924
598,202157,-36.92689624646204,-63.595948339885744
599,202357,-37.46005074634716,-63.55432045319178
600,202557,-37.83823992503514,-63.62832558333937
601,202757,-38.20904980129056,-63.76091810577706
602,202957,-38.77172150540049,-63.5866976966454
603,203158,-39.17573823749025,-63.51115079350082
604,203358,-39.655392804373804,-63.37239117907515
605,203558,-39.97639239923719,-63.219755597159796
606,203758,-40.45604696690725,-63.00082375796937
607,203958,-40.90802915497752,-62.60612973402112
